monthyear,chumphon
1/2024,1233
2/2024,171
3/2024,2989
4/2024,139
5/2024,2164
6/2024,4944
7/2024,1417
8/2024,19356
9/2024,26777
1/2024,14645
11/2024,2332
12/2024,5316
5/2025,45
6/2025,9164
7/2025,18381
8/2025,41274
9/2025,13753
1/2025,4583
5/2026,1597
6/2026,9631
7/2026,26849
8/2026,25552
9/2026,7486
1/2026,2249
11/2026,524
12/2026,973
2/2027,162
3/2027,668
5/2027,528
6/2027,1589
7/2027,37522
8/2027,43798
9/2027,16424
1/2027,371
11/2027,5476
12/2027,3873
5/2028,51
6/2028,15862
7/2028,217
8/2028,2757
9/2028,23496
1/2028,382
11/2028,3279
12/2028,1368
1/2029,2517
2/2029,2517
3/2029,2517
4/2029,99
5/2029,3831
6/2029,9257
7/2029,35753
8/2029,35778
9/2029,13984
1/2029,9847
11/2029,426
12/2029,2517
1/2021,33
2/2021,99
3/2021,2632
4/2021,26
5/2021,2143
6/2021,1256
7/2021,3393
8/2021,24515
9/2021,1281
1/2021,971
11/2021,9153
12/2021,469
1/6/211,6468
1/7/211,967
1/8/211,1877
1/9/211,133
1/1/211,1492
1/11/211,166
1/12/211,565
1/1/212,3323
1/2/212,2135
1/3/212,726
1/4/212,1782
1/5/212,4291
1/6/212,11674
1/7/212,2542
1/8/212,21147
1/9/212,252
1/1/212,123
1/11/212,441
1/12/212,4962
1/1/213,6822
1/2/213,4955
1/3/213,99
1/4/213,99
1/5/213,99
1/6/213,6975
1/7/213,12133
1/8/213,3833
1/9/213,32752
1/1/213,8944
1/11/213,963
1/12/213,655
1/1/214,65
1/2/214,97
1/3/214,453
1/4/214,32
1/5/214,756
1/6/214,5894
1/7/214,2917
1/8/214,79198
1/9/214,23125
1/1/214,81
1/11/214,1814
1/12/214,97
1/1/215,1282
1/2/215,685
1/3/215,1
1/4/215,37
1/5/215,212
1/6/215,172
1/7/215,339
1/8/215,4495
1/9/215,15935
1/1/215,591
1/11/215,5216
1/12/215,625
1/1/216,4323
1/2/216,632
1/3/216,279
1/4/216,137
1/5/216,328
1/6/216,2928
1/7/216,2886
1/8/216,6813
1/9/216,48334
1/1/216,31671
1/11/216,252
1/12/216,316
1/1/217,172
1/2/217,2137
1/3/217,868
1/4/217,114
1/5/217,1143
1/6/217,1257
1/7/217,14556
1/8/217,56863
1/9/217,2919
1/1/217,9951
1/11/217,3839
1/12/217,93
1/1/218,7352
1/2/218,9735
1/3/218,6361
1/4/218,139
1/5/218,5897
1/6/218,1151
1/7/218,38167
1/8/218,4163
1/9/218,1362
1/1/218,9333
1/11/218,777
1/12/218,5185
1/1/219,1181
1/2/219,14192
1/3/219,754
1/4/219,1111
1/5/219,155
1/6/219,634
1/7/219,31661
1/8/219,127534
1/9/219,3941
1/1/219,6471
1/11/219,1526
1/12/219,2133
1/2022,1546
2/2022,1893
3/2022,1231
4/2022,316
5/2022,815
6/2022,3957
7/2022,86114
8/2022,61818
9/2022,82454
1/2022,372
11/2022,978
12/2022,978
