monthyear,chumphon,suratthani
1/2004,1233,236
2/2004,1710,402
3/2004,2989,0
4/2004,139,0
5/2004,2164,25
6/2004,4944,253
7/2004,14017,2326
8/2004,19356,16534
9/2004,26777,13681
10/2004,14645,3820
11/2004,23032,4318
12/2004,5316,617
1/2005,,
2/2005,,
3/2005,,
4/2005,,
5/2005,4500,
6/2005,9164,5808
7/2005,18381,10284
8/2005,41274,10540
9/2005,13753,4822
10/2005,4583,1836
11/2005,,
12/2005,,
1/2006,,
2/2006,,
3/2006,0,0
4/2006,0,0
5/2006,1597,0
6/2006,9631,0
7/2006,26849,6431
8/2006,25552,11506
9/2006,7486,6647
10/2006,2249,4940
11/2006,524,3237
12/2006,973,0
1/2007,0,0
2/2007,1602,0
3/2007,668,0
4/2007,0,0
5/2007,5208,1578
6/2007,15890,3311
7/2007,37522,10587
8/2007,43798,14745
9/2007,16424,8277
10/2007,3071,0
11/2007,5476,0
12/2007,3873,0
1/2008,0,0
2/2008,0,0
3/2008,0,0
4/2008,0,0
5/2008,5100,289
6/2008,15862,1609
7/2008,20107,7630
8/2008,27570,20636
9/2008,23496,7349
10/2008,3802,0
11/2008,3279,0
12/2008,1368,0
1/2009,2517,902
2/2009,2517,1877
3/2009,2517,1805
4/2009,0,0
5/2009,3831,112
6/2009,9257,1307
7/2009,35753,6894
8/2009,35778,14875
9/2009,13984,3830
10/2009,9847,1210
11/2009,4260,1624
12/2009,2517,1660
1/2010,33,0
2/2010,0,0
3/2010,2632,0
4/2010,26,0
5/2010,2143,6
6/2010,1256,3868
7/2010,3393,11072
8/2010,24515,11033
9/2010,12810,3949
10/2010,9701,2173
11/2010,9153,0
12/2010,469,0
1/2011,0,
2/2011,0,0
3/2011,0,0
4/2011,0,0
5/2011,0,0
6/2011,6468,1675
7/2011,9670,2768
8/2011,18707,16383
9/2011,13030,1500
10/2011,1492,0
11/2011,1660,0
12/2011,5065,0
1/2012,3323,2724
2/2012,2135,973
3/2012,726,0
4/2012,1782,0
5/2012,4291,0
6/2012,11674,471
7/2012,20542,3265
8/2012,21147,9847
9/2012,25020,4330
10/2012,10023,4086
11/2012,4401,2617
12/2012,4962,3290
1/2013,6822,2062
2/2013,4955,1757
3/2013,0,0
4/2013,0,0
5/2013,0,0
6/2013,6975,0
7/2013,12133,7574
8/2013,38330,10919
9/2013,32752,4914
10/2013,8944,1876
11/2013,9630,2497
12/2013,6505,413
1/2014,605,0
2/2014,907,0
3/2014,453,0
4/2014,302,0
5/2014,756,0
6/2014,5894,0
7/2014,29170,5277
8/2014,79198,15243
9/2014,23125,4397
10/2014,8010,2931
11/2014,1814,1466
12/2014,907,0
1/2015,1282,4252
2/2015,685,7681
3/2015,100,0
4/2015,37,0
5/2015,212,0
6/2015,10072,54
7/2015,33900,6373
8/2015,44905,3975
9/2015,15935,4762
10/2015,5901,679
11/2015,5216,303
12/2015,6250,232
1/2016,4323,0
2/2016,6320,0
3/2016,2709,0
4/2016,137,0
5/2016,328,0
6/2016,2928,349
7/2016,28086,9623
8/2016,6813,10061
9/2016,48334,2816
10/2016,31671,440
11/2016,2052,0
12/2016,3106,0
1/2017,1702,62
2/2017,2137,88
3/2017,868,0
4/2017,114,0
5/2017,1143,0
6/2017,1257,107
7/2017,14556,1539
8/2017,56863,8465
9/2017,20919,7234
10/2017,9951,2993
11/2017,3839,780
12/2017,903,107
1/2018,7352,393
2/2018,9735,81
3/2018,6361,33
4/2018,139,0
5/2018,5897,0
6/2018,11051,20
7/2018,38167,4414
8/2018,40163,13907
9/2018,13620,6520
10/2018,9333,0
11/2018,7770,0
12/2018,5185,0
1/2019,11081,1806
2/2019,14192,761
3/2019,7054,0
4/2019,1111,0
5/2019,1055,0
6/2019,6304,1022
7/2019,31661,7167
8/2019,127534,21556
9/2019,39410,7272
10/2019,6471,3739
11/2019,10526,1512
12/2019,21330,990
1/2020,1546,530
2/2020,1893,21
3/2020,1231,0
4/2020,316,0
5/2020,8015,44
6/2020,39507,1521
7/2020,86114,16336
8/2020,61818,15247
9/2020,82454,3641
10/2020,30702,2056
11/2020,978,0
12/2020,978,0
